"id";"detection_timestamp";"vehicle_number";"car_id";"frame_number";"confidence_score";"vehicle_color";"vehicle_model";"detection_location";"image_path";"video_source";"additional_info";"matched_stolen_id";"match_severity"
39;"2026-03-07 14:00:38";"OD06HU0000";1;1200;0.79;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
40;"2026-03-07 14:01:08";"AP07OT0247";0;1220;0.62;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
41;"2026-03-07 14:02:01";"SK06UG0000";1;1260;0.64;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
42;"2026-03-07 14:02:46";"KA50DW0712";0;1300;0.65;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
43;"2026-03-07 14:03:15";"KA05CK0000";0;1320;0.81;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
44;"2026-03-07 14:03:29";"AP14EA7247";1;1320;0.61;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
45;"2026-03-07 14:05:03";"KA66GG0671";0;1380;0.62;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
46;"2026-03-07 14:05:12";"KA52AS0000";1;1380;0.76;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
47;"2026-03-07 14:05:30";"AP28CC4237";1;1400;0.73;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
48;"2026-03-07 14:05:54";"AP28CC6284";1;1420;0.69;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
49;"2026-03-07 14:06:16";"AP17DA0247";6;1420;0.72;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
50;"2026-03-07 14:06:50";"AP28CC4284";0;1460;0.75;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
51;"2026-03-07 14:12:37";"KA10LT0331";0;20;0.7;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
52;"2026-03-07 14:13:21";"KA20ZT0001";0;60;0.83;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
53;"2026-03-07 14:13:58";"KA00KA0033";0;100;0.77;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
54;"2026-03-07 14:15:57";"KA11LA0033";0;240;0.62;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
55;"2026-03-07 14:16:14";"KA10AA0033";1;260;0.77;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
56;"2026-03-07 14:16:32";"KA10KA0033";0;280;0.6;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
57;"2026-03-07 14:17:04";"KA11LA0033";0;320;0.66;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
58;"2026-03-07 14:17:23";"KA01OI5710";1;340;0.68;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
59;"2026-03-07 14:18:19";"KA27ZA0033";0;400;0.61;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
60;"2026-03-07 14:18:36";"KA01QS4524";2;420;0.69;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
61;"2026-03-07 14:18:53";"KA03KA0000";0;420;0.75;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
62;"2026-03-07 14:20:23";"KA41AA0033";0;520;0.65;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
63;"2026-03-07 14:20:36";"KA03KA0000";4;540;0.94;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
64;"2026-03-07 14:21:00";"KA00AO0000";3;560;0.72;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
65;"2026-03-07 14:21:13";"KA05TH7103";2;580;0.69;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
66;"2026-03-07 14:21:27";"KA01OH5710";4;600;0.7;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
67;"2026-03-07 14:22:09";"KA00OK0000";0;640;0.79;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
68;"2026-03-07 14:27:03";"KA10LT0331";0;20;0.7;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
